A*+OD+ID Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*/SIC)+ID Runtime,ICTS 3E +ID Runtime,EPEA*+ID Runtime,Y Runtime,GridSize,NumOfObstacles,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,NumOfAgents,ObstacleDensity,PointsAtSPRatio,Sparsity,bridges
135.9214,62.3714,149.5157,147.9879,138.395,62.3714,3600,360,42.8,96,9,31.53333,44.10476,20,0.1,0.21,0.006172839506172839,30
129.1415,155.5147,125.7167,120.1355,35.1191,35.1191,3600,360,38.35,79,14,33.04762,33.28095,20,0.1,0.16388889999999998,0.006172839506172839,24
34.1231,21.1046,33.5084,34.0143,29.5462,21.1046,3600,360,41.35,73,10,33.16667,36.1619,20,0.1,0.1636111,0.006172839506172839,20
57.9814,7.27,59.8097,58.0934,56.8158,7.27,3600,360,42.36,83,12,38.24,37.21846,25,0.1,0.2625,0.007716049382716048,22
78.8996,3166.1924,177.50099999999995,83.7295,73.0099,73.0099,3600,360,41.48,85,2,36.67077000000001,35.2,25,0.1,0.2425,0.007716049382716048,19
81.2678,150.4082,83.4691,75.5375,77.7682,75.5375,3600,360,36.56,88,1,35.852309999999996,36.01846,25,0.1,0.19888889999999998,0.007716049382716048,15
159.657,592.2809,300000.0,464.6417,395.5192,159.657,3600,360,40.1,86,4,33.9957,41.42581,30,0.1,0.2594444,0.009259259259259259,18
377.6632,821.0985,337.4928,376.6225,450.776,337.4928,3600,360,40.7,80,6,40.02581,37.4215,30,0.1,0.2688889,0.009259259259259259,20
419.1652,124.4553,407.7668,383.7687,416.7194,124.4553,3600,360,40.7,81,12,36.61506,39.53764,30,0.1,0.25166669999999997,0.009259259259259259,24
510.1469,243.3215,541.9738,612.3233,535.3053,243.3215,3600,360,41.34285714,85,5,38.09206,39.853970000000004,35,0.1,0.30111109999999996,0.010802469135802469,17
212.2319,212.2636,313.4232,240.8996,248.4556,212.2319,3600,360,37.62857143,73,2,34.72381,37.13968,35,0.1,0.2808333,0.010802469135802469,21
846.2564,156.0318,837.6371,800.6385,887.7603,156.0318,3600,360,39.97142857,91,3,36.08254,36.23492,35,0.1,0.2775,0.010802469135802469,19
1311.3373,358.116,1157.9269,1178.8269,1243.1986,358.116,3600,360,45.3,103,8,40.49878,38.21098,40,0.1,0.3425,0.012345679012345678,12
859.5386,392.0417,672.0849,703.4991,662.1545,392.0417,3600,360,43.025,93,7,41.2878,41.53049,40,0.1,0.3425,0.012345679012345678,21
609.1775,314.6571,626.553,678.0077,607.3295,314.6571,3600,360,37.925,79,4,37.80976,41.18415,40,0.1,0.3313889,0.012345679012345678,14
968.3189,300000.0,838.4188,880.4371,893.2912,838.4188,3600,360,40.44444444,76,4,41.785509999999995,35.464729999999996,45,0.1,0.34194450000000004,0.013888888888888888,17
1630.6607,444.6378,1639.3629,1606.5778,1650.8102,444.6378,3600,360,45.17777778,84,3,38.823190000000004,40.62222,45,0.1,0.3786111,0.013888888888888888,22
1343.7773,406.9007,1342.441,1343.8906,1381.4071,406.9007,3600,360,42.06666667,92,1,38.12174,37.55169,45,0.1,0.35055559999999997,0.013888888888888888,18
2964.7093,300000.0,300000.0,2225.6113,2556.7081,2225.6113,3600,360,44.7,99,5,39.3851,38.91216,50,0.1,0.37666669999999997,0.015432098765432096,21
300000.0,300000.0,23799.6056,300000.0,300000.0,23799.6056,3600,360,41.22,84,6,36.71922,38.09726,50,0.1,0.3525,0.015432098765432096,23
490.144,55825.0687,195129.629,1657.9692,1663.0564,490.144,3600,360,39.78,98,6,41.02274,37.27922,50,0.1,0.3780555,0.015432098765432096,25
76415.5454,300000.0,22890.6796,31315.4697,38733.1645,22890.6796,3600,360,38.83636364,102,1,38.33636,42.29351,55,0.1,0.3875,0.016975308641975308,18
3201.5667,270190.0365,2390.3344,2918.8533,4414.4102,2390.3344,3600,360,36.52727273,95,3,39.49091,37.32857,55,0.1,0.38055559999999994,0.016975308641975308,16
1533.1063,300000.0,1593.342,1516.7779999999998,1467.1608,1467.1608,3600,360,42.74545455,98,3,38.84935,38.20909,55,0.1,0.3730555,0.016975308641975308,22
19159.9676,300000.0,300000.0,10299.1399,7941.385999999998,7941.385999999998,3600,360,36.56666667,89,5,37.5082,39.91148,60,0.1,0.3852778,0.018518518518518517,20
6446.1955,300000.0,300000.0,4244.2306,2827.9595,2827.9595,3600,360,43.03333333,95,8,37.68033,43.34809,60,0.1,0.4391667,0.018518518518518517,20
4828.4273,300000.0,2576.2825,2802.8001,3510.7915,2576.2825,3600,360,45.41666667,84,9,38.1306,39.17814,60,0.1,0.4561111,0.018518518518518517,17
3291.0934,300000.0,300000.0,3066.738,2683.7596,2683.7596,3600,360,42.33846154,84,11,38.74312000000001,38.19674000000001,65,0.1,0.46,0.020061728395061727,15
4337.891,300000.0,7188.3411,4319.6144,4316.5781,4316.5781,3600,360,35.66153846,76,2,36.78695,37.55245,65,0.1,0.3886111,0.020061728395061727,19
3911.1447,300000.0,9278.6423,3944.8540000000003,4112.7801,3911.1447,3600,360,40.41538462,96,6,40.98088,39.84709,65,0.1,0.43972219999999995,0.020061728395061727,17
